output_column,column_group,source_family,source_variant,original_column,is_harmonized,is_derived,schema_version,notes
harm_ein,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_tax_year,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_filing_form,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_org_name,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_state,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_zip5,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_county_fips,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_region,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_ntee_code,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_subsection_code,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_revenue_amount,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_expenses_amount,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_assets_amount,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_income_amount,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_gross_receipts_under_25000_flag,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_is_hospital,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_is_university,harmonized,,,,True,False,1.6.0,Master-selected harmonized field at organization-year grain.
harm_ein__source_family,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_ein__source_variant,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_ein__source_column,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_ein__source_time_basis,field_provenance,,,,False,True,1.6.0,Canonical time-basis label for the selected master value's source family.
harm_ein__selected_row_source_family,field_provenance,,,,False,True,1.6.0,Selected donor-row provenance for the union row that supplied the chosen master value.
harm_ein__selected_row_source_variant,field_provenance,,,,False,True,1.6.0,Selected donor-row provenance for the union row that supplied the chosen master value.
harm_ein__selected_row_time_basis,field_provenance,,,,False,True,1.6.0,Selected donor-row provenance for the union row that supplied the chosen master value.
harm_ein__selected_row_tax_year,field_provenance,,,,False,True,1.6.0,Selected donor-row provenance for the union row that supplied the chosen master value.
harm_ein__source_tax_year,field_provenance,,,,False,True,1.6.0,Selected-value year provenance used to distinguish exact-year vs cross-year fills.
harm_ein__source_year_offset,field_provenance,,,,False,True,1.6.0,Selected-value year provenance used to distinguish exact-year vs cross-year fills.
harm_tax_year__source_family,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_tax_year__source_variant,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_tax_year__source_column,field_provenance,,,,False,True,1.6.0,Per-field value-origin provenance for the selected master value.
harm_tax_year__source_time_basis,field_provenance,,,,False,True,1.6.0,Canonical time-basis label for the selected master value's source family.
