canonical_variable,availability_status,variable_role,draft_variable,tax_year,form_type,row_count,populated_count,fill_rate,notes
analysis_total_revenue_amount,available,direct,Total revenue,all,all,3866,3853,0.9966373512674599,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2022,990,1118,1118,1.0,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2022,990EZ,583,577,0.9897084048027445,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2023,990,1070,1070,1.0,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2023,990EZ,567,561,0.9894179894179894,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2024,990,249,249,1.0,Efile total revenue direct field.
analysis_total_revenue_amount,available,direct,Total revenue,2024,990EZ,279,278,0.996415770609319,Efile total revenue direct field.
analysis_total_expense_amount,available,direct,Total expense,all,all,3866,3828,0.9901707190894982,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2022,990,1118,1118,1.0,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2022,990EZ,583,569,0.9759862778730704,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2023,990,1070,1070,1.0,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2023,990EZ,567,552,0.9735449735449735,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2024,990,249,249,1.0,Efile total expense direct field.
analysis_total_expense_amount,available,direct,Total expense,2024,990EZ,279,270,0.967741935483871,Efile total expense direct field.
analysis_total_assets_amount,available,direct,Total assets,all,all,3866,2437,0.6303673047077082,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2022,990,1118,1118,1.0,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2022,990EZ,583,0,0.0,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2023,990,1070,1070,1.0,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2023,990EZ,567,0,0.0,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2024,990,249,249,1.0,Direct asset field used for the draft's total-assets questions.
analysis_total_assets_amount,available,direct,Total assets,2024,990EZ,279,0,0.0,Direct asset field used for the draft's total-assets questions.
analysis_net_asset_amount,available,proxy,Net asset,all,all,3866,2437,0.6303673047077082,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2022,990,1118,1118,1.0,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2022,990EZ,583,0,0.0,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2023,990,1070,1070,1.0,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2023,990EZ,567,0,0.0,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2024,990,249,249,1.0,Conservative proxy preserved for draft financial-performance work.
analysis_net_asset_amount,available,proxy,Net asset,2024,990EZ,279,0,0.0,Conservative proxy preserved for draft financial-performance work.
analysis_calculated_surplus_amount,available,direct,Surplus,all,all,3866,3843,0.9940506983962752,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2022,990,1118,1118,1.0,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2022,990EZ,583,574,0.9845626072041166,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2023,990,1070,1070,1.0,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2023,990EZ,567,558,0.9841269841269841,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2024,990,249,249,1.0,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_surplus_amount,available,direct,Surplus,2024,990EZ,279,274,0.982078853046595,Current-year revenue-less-expense amount already produced upstream.
analysis_calculated_net_margin_ratio,available,calculated,Net margin,all,all,3866,3773,0.9759441282979824,"Null when revenue is missing, zero, or negative."
analysis_calculated_net_margin_ratio,available,calculated,Net margin,2022,990,1118,1107,0.9901610017889088,"Null when revenue is missing, zero, or negative."
analysis_calculated_net_margin_ratio,available,calculated,Net margin,2022,990EZ,583,562,0.9639794168096055,"Null when revenue is missing, zero, or negative."
analysis_calculated_net_margin_ratio,available,calculated,Net margin,2023,990,1070,1059,0.9897196261682243,"Null when revenue is missing, zero, or negative."
analysis_calculated_net_margin_ratio,available,calculated,Net margin,2023,990EZ,567,536,0.9453262786596119,"Null when revenue is missing, zero, or negative."
analysis_calculated_net_margin_ratio,available,calculated,Net margin,2024,990,249,248,0.9959839357429718,"Null when revenue is missing, zero, or negative."
